Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Número exterior o kilómetro,Tipo de asentamiento humano,Nombre de asentamiento humano,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Latitud,Longitud,Fecha de incorporación al DENUE
242 CINEMEX RINCON DE ROMOS POP,OPERADORA DE CINEMAS,11 a 30 personas,CALLE,DOCTOR FRANCISCO GUEL JIMÉNEZ,108,COLONIA,SANTA ANITA,20410,1,AGUASCALIENTES,7,Rincón de Romos,1,Rincón de Romos                                                                                               ,63,22.22743835,-102.3198794,2010-07
5 CINEMEX AGUASCALIENTES TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,AVENIDA,MONTES HIMALAYA,2351,COLONIA,CENTRO COMERCIAL GALERIAS I,20130,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,229,21.92311773,-102.2938359,2011-03
CINEPOLIS AGUASCALIENTES,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,AGUASCALIENTES PONIENTE (SIGLO XXI),1601,FRACCIONAMIENTO,LA FUNDICIÓN,20016,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,233,21.90325132,-102.3160821,2010-07
CINEPOLIS ALTARIA,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,BOULEVARD,BOULEVAR A ZACATECAS,849,COLONIA,CENTRO COMERCIAL ALTARIA,20116,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1320,21.92422666,-102.2902998,2010-07
CINEPOLIS ESPACIO AGUASCALIENTES,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,TECNOLÓGICO,120,COLONIA,OJO CALIENTE,20196,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1354,21.87745116,-102.2596567,2019-04
CINEPOLIS SUR AGUASCALIENTES,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,JOSÉ MARÍA CHÁVEZ,1809,FRACCIONAMIENTO,PRADOS DE VILLASUNCIÓN,20280,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1458,21.85472126,-102.2927186,2010-07
CINEPOLIS VELARIA MALL,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,AVENIDA,DE LOS MAESTROS,2615,COLONIA,NUEVA ESPANA,20205,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1373,21.85820103,-102.3146139,2010-07
CINEPOLIS VIP ALTARIA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,BOULEVAR A ZACATECAS,849,COLONIA,CENTRO COMERCIAL ALTARIA,20116,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1320,21.92422666,-102.2902998,2023-11
INTERCINEMAS,,0 a 5 personas,CALLE,BENITO JUAREZ,213,COLONIA,CALVILLO CENTRO,20800,1,AGUASCALIENTES,3,Calvillo,1,Calvillo                                                                                                      ,187,21.84719069,-102.7166422,2010-07
MINI CINE SALA ALTERNATIVA,,0 a 5 personas,CALLE,EDEN,,FRACCIONAMIENTO,COLINAS DE SAN IGNACIO,20016,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1994,21.8985052,-102.3179677,2024-11
OPERADORA DE CINES KRISTAL,OPERADORA DE CINES KRISTAL,11 a 30 personas,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS ORIENTE,1001,COLONIA,LA HUERTA,20250,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,816,21.87848685,-102.2807741,2010-07
123 CINEMEX LA GRAN VIA MEXICALI PREMIUM,OPERADORA DE CINEMAS,11 a 30 personas,CALZADA,MANUEL GÓMEZ MORÍN (RÍO CAJEME),1,COLONIA,RIVERA,21259,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali                                                                                                      ,3884,32.65354627,-115.4118575,2017-11
140 CINEMEX LOMA BONITA TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,BOULEVARD,NUEVA AURORA,7200,COLONIA,LOMA BONITA NORTE,22180,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,1191,32.48342548,-117.0519642,2016-01
147 CINEMEX MACROPLAZA TIJUANA TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,BOULEVARD,DE LOS INSURGENTES,1815,COLONIA,TERCERA ETAPA RÍO TIJUANA,22226,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,583,32.49351081,-116.9306362,2014-12
169 CINEMEX MUNDO DIVERTIDO MEXICALI TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,ADOLFO LÓPEZ MATEOS,,COLONIA,ZONA INDUSTRIAL,21150,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali                                                                                                      ,273A,32.65590712,-115.4774646,2010-07
176 CINEMEX OTAY TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,CALLE,RAMPA AEROPUERTO,16000,COLONIA,LA PECHUGA,22390,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,3893,32.53205342,-116.9501929,2010-07
198 CINEMEX PENINSULA TIJUANA POP,OPERADORA DE CINEMAS,11 a 30 personas,OTRO(ESPECIFIQUE),VÍA RÁPIDA ORIENTE,15000,COLONIA,CHAPULTEPEC ALAMAR,22110,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,048A,32.51346547,-116.9672643,2025-04
199 CINEMEX PENINSULA TIJUANA TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,OTRO(ESPECIFIQUE),RAPIDA OTE,15000,COLONIA,CHAPULTEPEC ALAMAR,22110,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,048A,32.51268119,-116.9661955,2026-04
216 CINEMEX PLAZA MINARETE TIJUANA TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,FRANCISCO SARABIA,4555,COLONIA,URBANIZACIÓN ZONA RÍO TIJUANA,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,3380,32.51605384,-117.0074309,2023-11
284 CINEMEX TIJUANA PACIFICO TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,BOULEVARD,PACIFICO,7521,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL PACÍFICO,22643,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,6614,32.47744135,-116.9937895,2019-11
285 CINEMEX TIJUANA PAVILION TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,CALLE,PASEO DE LOS HÉROES,0,COLONIA,URBANIZACIÓN ZONA RÍO TIJUANA,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,3836,32.53106587,-117.0266172,2016-01
